date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,market,date_calculated,slice
2029-12-31,241.0,7262.6328125,8110.0,253.0,Baton Rouge - LA,2024-12-31,Class A
2024-12-31,769.0,15114.0009765625,17095.0,896.0,Baton Rouge - LA,2024-12-31,Class B
2025-12-31,365.0,15479.453125,17358.0,263.0,Baton Rouge - LA,2024-12-31,Class B
2026-12-31,177.0,15657.01171875,17410.0,52.0,Baton Rouge - LA,2024-12-31,Class B
2027-12-31,126.0,15781.7236328125,17560.0,150.0,Baton Rouge - LA,2024-12-31,Class B
2028-12-31,192.0,15974.384765625,17744.0,184.0,Baton Rouge - LA,2024-12-31,Class B
2029-12-31,213.0,16188.3779296875,17938.0,194.0,Baton Rouge - LA,2024-12-31,Class B
2024-12-31,-277.0,15228.392578125,18367.0,0.0,Baton Rouge - LA,2024-12-31,Class C
2025-12-31,-75.0,15153.0107421875,18355.0,-12.0,Baton Rouge - LA,2024-12-31,Class C
2026-12-31,-83.0,15070.638671875,18337.0,-18.0,Baton Rouge - LA,2024-12-31,Class C
2027-12-31,-84.0,14986.0908203125,18320.0,-17.0,Baton Rouge - LA,2024-12-31,Class C
2028-12-31,-3.0,14982.328125,18304.0,-16.0,Baton Rouge - LA,2024-12-31,Class C
2029-12-31,23.0,15005.8916015625,18287.0,-17.0,Baton Rouge - LA,2024-12-31,Class C
2024-12-31,683.0,6433.21630859375,7653.0,441.0,Birmingham - AL,2024-12-31,Class A
2025-12-31,578.0,7011.470703125,8217.0,564.0,Birmingham - AL,2024-12-31,Class A
2026-12-31,350.0,7361.21826171875,8319.0,102.0,Birmingham - AL,2024-12-31,Class A
2027-12-31,312.0,7672.009765625,8617.0,298.0,Birmingham - AL,2024-12-31,Class A
2028-12-31,352.0,8022.57373046875,8985.0,368.0,Birmingham - AL,2024-12-31,Class A
2029-12-31,354.0,8376.6455078125,9371.0,386.0,Birmingham - AL,2024-12-31,Class A
2024-12-31,248.0,28480.4375,32498.0,995.0,Birmingham - AL,2024-12-31,Class B
2025-12-31,355.0,28835.701171875,32835.0,337.0,Birmingham - AL,2024-12-31,Class B
2026-12-31,280.0,29115.8671875,32917.0,82.0,Birmingham - AL,2024-12-31,Class B
2027-12-31,174.0,29289.7890625,33160.0,243.0,Birmingham - AL,2024-12-31,Class B
2028-12-31,269.0,29559.423828125,33460.0,300.0,Birmingham - AL,2024-12-31,Class B
2029-12-31,315.0,29874.15234375,33775.0,315.0,Birmingham - AL,2024-12-31,Class B
2024-12-31,-49.0,21991.123046875,24528.0,0.0,Birmingham - AL,2024-12-31,Class C
2025-12-31,-117.0,21873.712890625,24512.0,-16.0,Birmingham - AL,2024-12-31,Class C
2026-12-31,-134.0,21739.65625,24488.0,-24.0,Birmingham - AL,2024-12-31,Class C
2027-12-31,-128.0,21611.470703125,24465.0,-23.0,Birmingham - AL,2024-12-31,Class C
2028-12-31,-19.0,21592.958984375,24443.0,-22.0,Birmingham - AL,2024-12-31,Class C
2029-12-31,12.0,21606.021484375,24420.0,-23.0,Birmingham - AL,2024-12-31,Class C
2024-12-31,381.0,5628.37841796875,6670.0,760.0,Boise - ID,2024-12-31,Class A
2025-12-31,658.0,6285.01611328125,7318.0,648.0,Boise - ID,2024-12-31,Class A
2026-12-31,774.0,7058.228515625,7814.0,496.0,Boise - ID,2024-12-31,Class A
2027-12-31,512.0,7571.072265625,8255.0,441.0,Boise - ID,2024-12-31,Class A
2028-12-31,567.0,8137.61181640625,8880.0,625.0,Boise - ID,2024-12-31,Class A
2029-12-31,638.0,8776.0654296875,9570.0,690.0,Boise - ID,2024-12-31,Class A
2024-12-31,2277.0,23333.330078125,26191.0,1886.0,Boise - ID,2024-12-31,Class B
2025-12-31,830.0,24163.53515625,26679.0,488.0,Boise - ID,2024-12-31,Class B
2026-12-31,829.0,24991.216796875,27033.0,354.0,Boise - ID,2024-12-31,Class B
2027-12-31,585.0,25575.337890625,27528.0,495.0,Boise - ID,2024-12-31,Class B
2028-12-31,696.0,26272.814453125,28228.0,700.0,Boise - ID,2024-12-31,Class B
2029-12-31,756.0,27027.61328125,29002.0,774.0,Boise - ID,2024-12-31,Class B
2024-12-31,66.0,8109.28564453125,8571.0,24.0,Boise - ID,2024-12-31,Class C
2025-12-31,-5.0,8104.51318359375,8561.0,-10.0,Boise - ID,2024-12-31,Class C
2026-12-31,28.0,8132.87890625,8580.0,19.0,Boise - ID,2024-12-31,Class C
2027-12-31,42.0,8174.197265625,8568.0,-12.0,Boise - ID,2024-12-31,Class C
2028-12-31,33.0,8206.611328125,8557.0,-11.0,Boise - ID,2024-12-31,Class C
2029-12-31,20.0,8225.416015625,8546.0,-11.0,Boise - ID,2024-12-31,Class C
