date,market_cap_rate,market_effective_rent_growth_12_mo,market_effective_rentunit,market_sale_price_growth,market_sale_price_per_unit,occupancy_rate,revenue,opex,noi,market,date_calculated,slice
2027-12-31,0.0562385022640228,0.0321828499436378,2199.09912109375,0.0880996407580212,233640.0414,0.9001105427742,23753.18764202354,0.54,10926.466315330827,Port St. Lucie - FL,2024-12-31,Class B
2028-12-31,0.0534385032951832,0.0296235047280788,2264.244140625,0.0911344449011322,254932.6969,0.903477132320404,24548.313636541832,0.54,11292.224272809242,Port St. Lucie - FL,2024-12-31,Class B
2029-12-31,0.0517385005950928,0.0236525479704142,2317.79931640625,0.0629129527877788,270971.2656,0.905811488628387,25193.87098962964,0.54,11589.180655229633,Port St. Lucie - FL,2024-12-31,Class B
2024-12-31,0.0699864029884338,0.042001023888588,1386.18786621094,-0.0058899202437887,109955.1857,0.948061108589172,0.0,,,Port St. Lucie - FL,2024-12-31,Class C
2025-12-31,0.0708864033222198,0.0352614410221577,1435.06689453125,0.0237420988713931,112565.7526,0.947848379611969,16322.709967394709,0.54,7508.446585001566,Port St. Lucie - FL,2024-12-31,Class C
2026-12-31,0.069386400282383,0.0455985330045223,1500.50378417969,0.0762933457420895,121153.7705,0.947831332683563,17066.694017469177,0.54,7850.679248035821,Port St. Lucie - FL,2024-12-31,Class C
2027-12-31,0.0667864009737968,0.0358932502567768,1554.36181640625,0.0848240552714409,131430.5246,0.948045909404755,17683.276341346682,0.54,8134.3071170194735,Port St. Lucie - FL,2024-12-31,Class C
2028-12-31,0.0639864057302475,0.0330579914152622,1605.74584960938,0.0866770725521012,142822.5377,0.951905131340027,18342.21256645344,0.54,8437.417780568581,Port St. Lucie - FL,2024-12-31,Class C
2029-12-31,0.0622864030301571,0.0270779188722372,1649.22607421875,0.0609713653489766,151530.6229,0.956151366233826,18922.917169112487,0.54,8704.541897791743,Port St. Lucie - FL,2024-12-31,Class C
2024-12-31,0.0781365931034088,0.0314732417464256,2324.28076171875,-0.0016437631061935,117218.6694,0.896889507770538,0.0,,,Portland - ME,2024-12-31,Class A
2025-12-31,0.0794365927577019,0.0376033894717693,2411.681640625,0.0201560774782023,119581.338,0.936012208461761,27088.36150257707,0.54,12460.646291185452,Portland - ME,2024-12-31,Class A
