date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,market,date_calculated,slice
2028-12-31,35.0,2438.19165039063,2628.0,38.0,"Albany,Oregon",2024-12-31,Class B
2029-12-31,37.0,2475.1611328125,2670.0,42.0,"Albany,Oregon",2024-12-31,Class B
2024-12-31,-16.0,2973.06469726563,3100.0,0.0,"Albany,Oregon",2024-12-31,Class C
2025-12-31,-12.0,2961.90087890625,3098.0,-2.0,"Albany,Oregon",2024-12-31,Class C
2026-12-31,-9.0,2952.93969726563,3097.0,-1.0,"Albany,Oregon",2024-12-31,Class C
2027-12-31,5.0,2958.37231445313,3095.0,-2.0,"Albany,Oregon",2024-12-31,Class C
2028-12-31,4.0,2961.81201171875,3094.0,-1.0,"Albany,Oregon",2024-12-31,Class C
2029-12-31,0.0,2961.271484375,3092.0,-2.0,"Albany,Oregon",2024-12-31,Class C
2024-12-31,430.0,4330.7568359375,5084.0,695.0,"Albuquerque,New Mexico",2024-12-31,Class A
2025-12-31,366.0,4696.23486328125,5528.0,444.0,"Albuquerque,New Mexico",2024-12-31,Class A
2026-12-31,448.0,5144.6806640625,5724.0,196.0,"Albuquerque,New Mexico",2024-12-31,Class A
2027-12-31,315.0,5460.75439453125,5962.0,238.0,"Albuquerque,New Mexico",2024-12-31,Class A
2028-12-31,267.0,5727.880859375,6259.0,297.0,"Albuquerque,New Mexico",2024-12-31,Class A
2029-12-31,289.0,6016.220703125,6579.0,320.0,"Albuquerque,New Mexico",2024-12-31,Class A
2024-12-31,637.0,25737.8828125,28122.0,719.0,"Albuquerque,New Mexico",2024-12-31,Class B
2025-12-31,537.0,26275.2421875,28566.0,444.0,"Albuquerque,New Mexico",2024-12-31,Class B
2026-12-31,654.0,26928.626953125,29111.0,545.0,"Albuquerque,New Mexico",2024-12-31,Class B
2027-12-31,402.0,27330.150390625,29402.0,291.0,"Albuquerque,New Mexico",2024-12-31,Class B
2028-12-31,351.0,27682.26953125,29764.0,362.0,"Albuquerque,New Mexico",2024-12-31,Class B
2029-12-31,336.0,28017.5625,30154.0,390.0,"Albuquerque,New Mexico",2024-12-31,Class B
2024-12-31,238.0,21687.666015625,23283.0,0.0,"Albuquerque,New Mexico",2024-12-31,Class C
2025-12-31,-93.0,21595.255859375,23273.0,-10.0,"Albuquerque,New Mexico",2024-12-31,Class C
2026-12-31,-112.0,21482.994140625,23259.0,-14.0,"Albuquerque,New Mexico",2024-12-31,Class C
2027-12-31,-27.0,21456.048828125,23246.0,-13.0,"Albuquerque,New Mexico",2024-12-31,Class C
2028-12-31,10.0,21464.908203125,23233.0,-13.0,"Albuquerque,New Mexico",2024-12-31,Class C
2029-12-31,-28.0,21436.4453125,23220.0,-13.0,"Albuquerque,New Mexico",2024-12-31,Class C
2024-12-31,7.0,1709.041015625,1788.0,0.0,"Alexandria,Louisiana",2024-12-31,Class B
2025-12-31,-9.0,1699.33850097656,1788.0,0.0,"Alexandria,Louisiana",2024-12-31,Class B
2026-12-31,-9.0,1690.16674804688,1789.0,1.0,"Alexandria,Louisiana",2024-12-31,Class B
2027-12-31,-7.0,1682.32983398438,1794.0,5.0,"Alexandria,Louisiana",2024-12-31,Class B
2028-12-31,3.0,1686.38427734375,1799.0,5.0,"Alexandria,Louisiana",2024-12-31,Class B
2029-12-31,4.0,1691.41528320313,1805.0,6.0,"Alexandria,Louisiana",2024-12-31,Class B
2024-12-31,6.0,1360.25085449219,1497.0,0.0,"Alexandria,Louisiana",2024-12-31,Class C
2025-12-31,-9.0,1351.12365722656,1496.0,-1.0,"Alexandria,Louisiana",2024-12-31,Class C
2026-12-31,-9.0,1341.67297363281,1494.0,-2.0,"Alexandria,Louisiana",2024-12-31,Class C
2027-12-31,-10.0,1332.11206054688,1493.0,-1.0,"Alexandria,Louisiana",2024-12-31,Class C
2028-12-31,-3.0,1329.41662597656,1492.0,-1.0,"Alexandria,Louisiana",2024-12-31,Class C
2029-12-31,-1.0,1326.61975097656,1491.0,-1.0,"Alexandria,Louisiana",2024-12-31,Class C
2024-12-31,59.0,415.151885986328,425.0,52.0,"Altoona,Pennsylvania",2024-12-31,Class B
2025-12-31,-2.0,413.402008056641,424.0,-1.0,"Altoona,Pennsylvania",2024-12-31,Class B
2026-12-31,-1.0,412.690093994141,424.0,0.0,"Altoona,Pennsylvania",2024-12-31,Class B
2027-12-31,0.0,413.306213378906,424.0,0.0,"Altoona,Pennsylvania",2024-12-31,Class B
2028-12-31,0.0,413.419189453125,424.0,0.0,"Altoona,Pennsylvania",2024-12-31,Class B
2029-12-31,0.0,412.823608398438,424.0,0.0,"Altoona,Pennsylvania",2024-12-31,Class B
2024-12-31,-17.0,901.536376953125,957.0,0.0,"Altoona,Pennsylvania",2024-12-31,Class C
2025-12-31,-4.0,896.831115722656,956.0,-1.0,"Altoona,Pennsylvania",2024-12-31,Class C
2026-12-31,-2.0,894.808715820313,956.0,0.0,"Altoona,Pennsylvania",2024-12-31,Class C
2027-12-31,1.0,896.316589355469,956.0,0.0,"Altoona,Pennsylvania",2024-12-31,Class C
2028-12-31,0.0,896.978210449219,955.0,-1.0,"Altoona,Pennsylvania",2024-12-31,Class C
2029-12-31,-1.0,895.257507324219,955.0,0.0,"Altoona,Pennsylvania",2024-12-31,Class C
2024-12-31,31.0,1813.08703613281,1920.0,0.0,"Amarillo,Texas",2024-12-31,Class A
2025-12-31,-13.0,1800.18481445313,1920.0,0.0,"Amarillo,Texas",2024-12-31,Class A
2026-12-31,-7.0,1792.95434570313,1928.0,8.0,"Amarillo,Texas",2024-12-31,Class A
2027-12-31,14.0,1805.61694335938,1950.0,22.0,"Amarillo,Texas",2024-12-31,Class A
2028-12-31,24.0,1828.60498046875,1978.0,28.0,"Amarillo,Texas",2024-12-31,Class A
2029-12-31,23.0,1852.46484375,2008.0,30.0,"Amarillo,Texas",2024-12-31,Class A
2024-12-31,147.0,7089.67529296875,7842.0,38.0,"Amarillo,Texas",2024-12-31,Class B
2025-12-31,-36.0,7054.037109375,7841.0,-1.0,"Amarillo,Texas",2024-12-31,Class B
2026-12-31,-40.0,7014.140625,7848.0,7.0,"Amarillo,Texas",2024-12-31,Class B
2027-12-31,-2.0,7011.6357421875,7865.0,17.0,"Amarillo,Texas",2024-12-31,Class B
2028-12-31,16.0,7029.25,7886.0,21.0,"Amarillo,Texas",2024-12-31,Class B
2029-12-31,5.0,7034.4775390625,7909.0,23.0,"Amarillo,Texas",2024-12-31,Class B
2024-12-31,-44.0,4896.9541015625,5898.0,45.0,"Amarillo,Texas",2024-12-31,Class C
2025-12-31,-36.0,4859.7919921875,5895.0,-3.0,"Amarillo,Texas",2024-12-31,Class C
2026-12-31,-36.0,4824.62353515625,5891.0,-4.0,"Amarillo,Texas",2024-12-31,Class C
2027-12-31,-14.0,4811.1162109375,5888.0,-3.0,"Amarillo,Texas",2024-12-31,Class C
2028-12-31,-2.0,4809.9365234375,5884.0,-4.0,"Amarillo,Texas",2024-12-31,Class C
2029-12-31,-12.0,4797.84619140625,5881.0,-3.0,"Amarillo,Texas",2024-12-31,Class C
2024-12-31,-3.0,1100.21240234375,1114.0,0.0,"Ames,Iowa",2024-12-31,Class A
2025-12-31,-1.0,1099.05676269531,1114.0,0.0,"Ames,Iowa",2024-12-31,Class A
2026-12-31,4.0,1102.67407226563,1115.0,1.0,"Ames,Iowa",2024-12-31,Class A
2027-12-31,4.0,1105.74060058594,1119.0,4.0,"Ames,Iowa",2024-12-31,Class A
2028-12-31,4.0,1109.54260253906,1122.0,3.0,"Ames,Iowa",2024-12-31,Class A
2029-12-31,4.0,1113.29162597656,1126.0,4.0,"Ames,Iowa",2024-12-31,Class A
2024-12-31,7.0,2492.89086914063,2651.0,-1.0,"Ames,Iowa",2024-12-31,Class B
2025-12-31,1.0,2493.73095703125,2651.0,0.0,"Ames,Iowa",2024-12-31,Class B
2026-12-31,6.0,2499.67358398438,2655.0,4.0,"Ames,Iowa",2024-12-31,Class B
2027-12-31,9.0,2508.267578125,2662.0,7.0,"Ames,Iowa",2024-12-31,Class B
2028-12-31,8.0,2515.138671875,2671.0,9.0,"Ames,Iowa",2024-12-31,Class B
2029-12-31,6.0,2520.5390625,2679.0,8.0,"Ames,Iowa",2024-12-31,Class B
2024-12-31,30.0,3770.16381835938,3935.0,34.0,"Ames,Iowa",2024-12-31,Class C
2025-12-31,-8.0,3761.67919921875,3933.0,-2.0,"Ames,Iowa",2024-12-31,Class C
2026-12-31,4.0,3766.32373046875,3930.0,-3.0,"Ames,Iowa",2024-12-31,Class C
2027-12-31,5.0,3770.94409179688,3927.0,-3.0,"Ames,Iowa",2024-12-31,Class C
2028-12-31,0.0,3771.06616210938,3924.0,-3.0,"Ames,Iowa",2024-12-31,Class C
2029-12-31,-1.0,3769.84204101563,3921.0,-3.0,"Ames,Iowa",2024-12-31,Class C
2024-12-31,0.0,31.8358993530273,32.0,0.0,"Anchorage,Alaska",2024-12-31,Class A
2025-12-31,0.0,31.6499996185303,32.0,0.0,"Anchorage,Alaska",2024-12-31,Class A
2026-12-31,0.0,31.2150001525879,32.0,0.0,"Anchorage,Alaska",2024-12-31,Class A
2027-12-31,2.0,34.128101348877,35.0,3.0,"Anchorage,Alaska",2024-12-31,Class A
2028-12-31,4.0,37.4522018432617,39.0,4.0,"Anchorage,Alaska",2024-12-31,Class A
2029-12-31,4.0,42.1170997619629,44.0,5.0,"Anchorage,Alaska",2024-12-31,Class A
2024-12-31,111.0,3615.658203125,3827.0,88.0,"Anchorage,Alaska",2024-12-31,Class B
2025-12-31,-20.0,3594.49975585938,3826.0,-1.0,"Anchorage,Alaska",2024-12-31,Class B
2026-12-31,14.0,3608.09204101563,3866.0,40.0,"Anchorage,Alaska",2024-12-31,Class B
2027-12-31,13.0,3621.78173828125,3875.0,9.0,"Anchorage,Alaska",2024-12-31,Class B
2028-12-31,12.0,3633.26220703125,3887.0,12.0,"Anchorage,Alaska",2024-12-31,Class B
2029-12-31,8.0,3642.57006835938,3900.0,13.0,"Anchorage,Alaska",2024-12-31,Class B
2024-12-31,59.0,8655.41015625,9343.0,0.0,"Anchorage,Alaska",2024-12-31,Class C
2025-12-31,-56.0,8598.919921875,9340.0,-3.0,"Anchorage,Alaska",2024-12-31,Class C
2026-12-31,-43.0,8557.0185546875,9336.0,-4.0,"Anchorage,Alaska",2024-12-31,Class C
2027-12-31,-3.0,8555.1513671875,9333.0,-3.0,"Anchorage,Alaska",2024-12-31,Class C
2028-12-31,1.0,8555.099609375,9330.0,-3.0,"Anchorage,Alaska",2024-12-31,Class C
2029-12-31,-12.0,8542.5556640625,9327.0,-3.0,"Anchorage,Alaska",2024-12-31,Class C
2024-12-31,212.0,1280.14465332031,1478.0,253.0,"Ann Arbor,Michigan",2024-12-31,Class A
2025-12-31,131.0,1411.09924316406,1478.0,0.0,"Ann Arbor,Michigan",2024-12-31,Class A
2026-12-31,61.0,1471.82885742188,1562.0,84.0,"Ann Arbor,Michigan",2024-12-31,Class A
2027-12-31,125.0,1595.90747070313,1715.0,153.0,"Ann Arbor,Michigan",2024-12-31,Class A
2028-12-31,162.0,1758.76635742188,1890.0,175.0,"Ann Arbor,Michigan",2024-12-31,Class A
2029-12-31,174.0,1932.13159179688,2072.0,182.0,"Ann Arbor,Michigan",2024-12-31,Class A
2024-12-31,499.0,10204.0615234375,11371.0,1125.0,"Ann Arbor,Michigan",2024-12-31,Class B
2025-12-31,688.0,10892.484375,11701.0,330.0,"Ann Arbor,Michigan",2024-12-31,Class B
2026-12-31,385.0,11276.4365234375,11901.0,200.0,"Ann Arbor,Michigan",2024-12-31,Class B
2027-12-31,253.0,11530.3603515625,12133.0,232.0,"Ann Arbor,Michigan",2024-12-31,Class B
2028-12-31,260.0,11789.80859375,12400.0,267.0,"Ann Arbor,Michigan",2024-12-31,Class B
2029-12-31,267.0,12057.2568359375,12675.0,275.0,"Ann Arbor,Michigan",2024-12-31,Class B
