date,market_cap_rate,market_effective_rent_growth_12_mo,market_effective_rentunit,market_sale_price_growth,market_sale_price_per_unit,occupancy_rate,revenue,opex,noi,market,date_calculated,slice
2025-12-31,0.0791459754109383,0.0348558314144611,906.558959960938,0.0206840129273151,66227.344,0.910788595676422,9908.202744488404,0.54,4557.773262464666,"Abilene,Texas",2024-12-31,Class C
2026-12-31,0.077645979821682,0.0434527918696404,945.951477050781,0.0697028000367212,70843.5753,0.904595792293549,10268.44471024805,0.54,4723.484566714103,"Abilene,Texas",2024-12-31,Class C
2027-12-31,0.0747459754347801,0.0323475785553455,976.550720214844,0.0764799206815358,76261.6864,0.902510404586792,10576.166227207465,0.54,4865.036464515433,"Abilene,Texas",2024-12-31,Class C
2028-12-31,0.0715459808707237,0.0293729864060879,1005.23492431641,0.079250596126488,82305.4705,0.90180903673172,10878.359265442383,0.54,5004.045262103496,"Abilene,Texas",2024-12-31,Class C
2029-12-31,0.0695459768176079,0.0234306082129478,1028.78820800781,0.0550238809767509,86834.2369,0.899686932563782,11107.04768544404,0.54,5109.241935304258,"Abilene,Texas",2024-12-31,Class C
2024-12-31,0.0815140083432198,0.0538629256188869,1638.65295410156,-0.0026326601561523,113277.5435,0.812254726886749,0.0,,0.0,"Akron,Ohio",2024-12-31,Class A
2025-12-31,0.0828140079975128,0.033507764339447,1693.560546875,0.0241335948126846,116011.3378,0.796994626522064,16197.103866589718,0.54,7450.667778631269,"Akron,Ohio",2024-12-31,Class A
2026-12-31,0.0811140090227127,0.0290846843272448,1742.81726074219,0.0602883675471976,123005.472,0.810652017593384,16953.819944606774,0.54,7798.757174519115,"Akron,Ohio",2024-12-31,Class A
2027-12-31,0.0779140070080757,0.0187651980668306,1775.52160644531,0.0670582873817636,131254.0083,0.812314987182617,17307.393731784978,0.54,7961.401116621089,"Akron,Ohio",2024-12-31,Class A
2028-12-31,0.0744140073657036,0.013880874030292,1800.16735839844,0.0667588761891283,140016.3784,0.81270557641983,17556.072607912403,0.54,8075.793399639705,"Akron,Ohio",2024-12-31,Class A
2029-12-31,0.0723140090703964,0.008263548836112,1815.04309082031,0.0422655113618088,145934.2422,0.8121018409729,17687.998026003796,0.54,8136.479091961745,"Akron,Ohio",2024-12-31,Class A
2024-12-31,0.0836512371897697,0.0541853122413158,1340.09594726563,0.0035306890096831,96584.0093,0.916704416275024,0.0,,0.0,"Akron,Ohio",2024-12-31,Class B
2025-12-31,0.0849512368440628,0.0432531461119652,1398.05920410156,0.0302989929493761,99510.4075,0.928375422954559,15575.0856590796,0.54,7164.539403176615,"Akron,Ohio",2024-12-31,Class B
2026-12-31,0.0832512378692627,0.0380273312330246,1451.22375488281,0.0654210615733538,106020.484,0.929556608200073,16187.935575938869,0.54,7446.450364931879,"Akron,Ohio",2024-12-31,Class B
2027-12-31,0.0800512433052063,0.0276112630963326,1491.29382324219,0.0720286653007736,113656.998,0.928471386432648,16615.483723729445,0.54,7643.122512915545,"Akron,Ohio",2024-12-31,Class B
2028-12-31,0.0765512362122536,0.0226859673857689,1525.12524414063,0.0717352045692595,121810.206,0.926626861095428,16958.664213065163,0.54,7800.985538009974,"Akron,Ohio",2024-12-31,Class B
2029-12-31,0.0744512379169464,0.016835056245327,1550.80090332031,0.0472565637643606,127566.5377,0.924404501914978,17202.808039237312,0.54,7913.291698049163,"Akron,Ohio",2024-12-31,Class B
2024-12-31,0.0937786847352982,0.0378797873854637,927.647155761719,0.0182435560948542,59430.0832,0.943245470523834,0.0,,0.0,"Akron,Ohio",2024-12-31,Class C
2025-12-31,0.0950786843895912,0.0445159003138542,968.942199707031,0.0329672870418958,61389.3318,0.938620209693909,10913.62476804349,0.54,5020.267393300005,"Akron,Ohio",2024-12-31,Class C
