,date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,latitude,longitude
0,2024-12-31,2029-12-31,Class A,Missouri,Springfield,"Springfield,Missouri",44180,G2-44180,494437.09375,120340.0631,72204.03786,48136.02524,0.05864742883699492,0.12515576050657762,0.0645,0.060655760506577616,91.99999272823305,0.30317577829995956,59231.0767804954,2.9049704793116438,0.9333204122394778,0.028045755059996846,0.03023348400293857,37.2081729,-93.2922715
0,2024-12-31,2029-12-31,Class B,Missouri,Springfield,"Springfield,Missouri",44180,G2-44180,494437.09375,90789.2229,54473.53373999999,36315.68916,0.05989878226237688,0.1382036886045215,0.0645,0.0737036886045215,91.99999272823293,0.33085066556045595,50072.69494438163,3.087763043306114,0.957789582923551,0.015345101761338187,0.014314388985286142,37.2081729,-93.2922715
0,2024-12-31,2029-12-31,Class C,Missouri,Springfield,"Springfield,Missouri",44180,G2-44180,494437.09375,69408.6439,41645.18633999999,27763.457560000003,0.05935421773145699,0.1446989871718096,0.0645,0.0801989871718096,91.99999272823305,0.3437802150528704,39978.962025496236,3.160372628020903,0.9512369486070691,0.003113446985115731,0.002431311210514986,37.2081729,-93.2922715
0,2024-12-31,2029-12-31,Class B,Ohio,Springfield,"Springfield,Ohio",44220,G2-44220,134289.796875,49932.3686,29959.421159999998,19972.947440000004,0.057693436886670835,0.26615351268393683,0.0645,0.20165351268393683,92.00006723403902,0.6045006326356954,53553.31346208212,4.652491135454344,0.9653532657032675,0.0022126840336413878,0.0060047985168218965,39.9234046,-83.810138
0,2024-12-31,2029-12-31,Class C,Ohio,Springfield,"Springfield,Ohio",44220,G2-44220,134289.796875,45261.6877,27157.01262,18104.67508,0.0560463474766979,0.23849902706749831,0.0645,0.1739990270674983,91.99999272823389,0.5415125959950122,43003.22017460665,4.281123039600265,0.9495068605511007,-0.0025945551415532675,0.0001761493856000662,39.9234046,-83.810138
0,2024-12-31,2029-12-31,Class A,Minnesota,St. Cloud,"St. Cloud,Minnesota",41060,G2-41060,202792.6875,107899.3706,64739.622359999994,43159.74824,0.05904572940277908,0.14338335795364068,0.0645,0.07888335795364068,91.99999272823403,0.3415478432987902,61449.629501511125,3.139073700432264,0.9665670008747136,0.027218792041738382,0.03102239177423516,45.5616075,-94.1642004
0,2024-12-31,2029-12-31,Class B,Minnesota,St. Cloud,"St. Cloud,Minnesota",41060,G2-41060,202792.6875,102137.7187,61282.631219999996,40855.08748,0.05950122376247613,0.15419376782225644,0.0645,0.08969376782225644,91.99999272823389,0.36387894577318547,62923.44719765797,3.2813722768992015,0.9569337464341553,0.017460025019823355,0.01477154074911291,45.5616075,-94.1642004
0,2024-12-31,2029-12-31,Class C,Minnesota,St. Cloud,"St. Cloud,Minnesota",41060,G2-41060,202792.6875,66803.8526,40082.311559999995,26721.541040000004,0.05769227596949755,0.17116814822794235,0.0645,0.10666814822794235,91.99999272823305,0.3971183892580912,45295.06520407007,3.465155918345646,0.9644442023223051,0.0005713968085185872,-0.0004677270522167598,45.5616075,-94.1642004
0,2024-12-31,2029-12-31,Class A,Utah,St. George,"St. George,Utah",41100,G2-41100,206895.796875,226471.4799,135882.88794,90588.59196000002,0.06519724916537095,0.08929150803891811,0.0645,0.02479150803891811,83.99996906518999,0.2390996892032835,84566.23289410702,2.5607836143668505,0.9167418334467458,0.03777147016686855,0.030914832327820996,37.104153,-113.584131
0,2024-12-31,2029-12-31,Class B,Utah,St. George,"St. George,Utah",41100,G2-41100,206895.796875,196222.8109,117733.68654000001,78489.12436,0.06671127615975392,0.09947033576565029,0.06450000000000002,0.03497033576565027,83.99996906518902,0.2608598995554503,82850.05421241674,2.7124531737655833,0.9158648550204802,0.046389847201210976,0.024893234964194377,37.104153,-113.584131
0,2024-12-31,2029-12-31,Class C,Utah,St. George,"St. George,Utah",41100,G2-41100,206895.796875,132201.8458,79321.10748,52880.738320000004,0.06601574448228753,0.11425871732431107,0.0645,0.04975871732431107,83.99996906518999,0.28955309024491394,63493.248173339525,2.8860658256931044,0.9753812514496881,0.003419217217242476,-0.0016181314578224137,37.104153,-113.584131
0,2024-12-31,2029-12-31,Class B,Missouri,St. Joseph,"St. Joseph,Missouri",41140,G2-41140,118742.8984375,90874.959,54524.9754,36349.9836,0.06074195951291195,0.12599645144254978,0.0645,0.06149645144254978,91.99999272823293,0.306951830169514,45880.92846508075,2.9484948248624803,0.9446114334405641,0.0006647857029400406,0.0,39.7686055,-94.8466322
0,2024-12-31,2029-12-31,Class C,Missouri,St. Joseph,"St. Joseph,Missouri",41140,G2-41140,118742.8984375,69769.7014,41861.82084,27907.880560000005,0.05768169124547584,0.13200955008629295,0.0645,0.06750955008629295,91.99999272823305,0.3153274900651599,35991.48986932729,2.9755078576430956,0.9103610202497732,9.551087056136609e-05,-0.00040821894136078285,39.7686055,-94.8466322
0,2024-12-31,2029-12-31,Class A,Connecticut,Stamford,"Stamford,Connecticut",14860,G2-14860,957888.5,345953.1317,207571.87902000002,138381.25268,0.06286699883663105,0.1055334851230727,0.0645,0.0410334851230727,76.999999582767,0.2683153006676997,148742.7462197424,2.7264719149221226,0.924704125725447,0.04831160524516931,0.041818799554584896,41.0534302,-73.5387341
