,equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,market,date_cashflow,slice
2024-12-31,-63029.16032000001,157572.9008,0.0,0.0,0.0,0.0,0.0,-63029.16032000001,"Albuquerque,New Mexico",2024-12-31,Class B
2025-12-31,0.0,160083.0456,15053.947739055986,6924.815959965753,-6098.07126096,0.0,0.0,826.7446990057533,"Albuquerque,New Mexico",2024-12-31,Class B
2026-12-31,0.0,172197.8613,15798.369599663481,7267.250015845201,-6098.07126096,0.0,0.0,1169.1787548852017,"Albuquerque,New Mexico",2024-12-31,Class B
2027-12-31,0.0,187603.794,16397.56440326952,7542.879625503979,-6098.07126096,0.0,0.0,1444.8083645439792,"Albuquerque,New Mexico",2024-12-31,Class B
2028-12-31,0.0,205457.485,16898.81255524729,7773.453775413752,-6098.07126096,0.0,0.0,1675.3825144537523,"Albuquerque,New Mexico",2024-12-31,Class B
2029-12-31,0.0,218998.1311,17290.923975921818,7953.825028924036,-6098.07126096,-94543.74048,218998.1311,126310.14438796404,"Albuquerque,New Mexico",2024-12-31,Class B
2024-12-31,-39246.08344,98115.2086,0.0,0.0,0.0,0.0,0.0,-39246.08344,"Albuquerque,New Mexico",2024-12-31,Class C
2025-12-31,0.0,99958.281,11326.900692853109,5210.37431871243,-3797.05857282,0.0,0.0,1413.3157458924302,"Albuquerque,New Mexico",2024-12-31,Class C
2026-12-31,0.0,107267.4352,11772.199358475224,5415.211704898603,-3797.05857282,0.0,0.0,1618.153132078603,"Albuquerque,New Mexico",2024-12-31,Class C
2027-12-31,0.0,116215.0311,12154.258771152461,5590.959034730132,-3797.05857282,0.0,0.0,1793.900461910132,"Albuquerque,New Mexico",2024-12-31,Class C
2028-12-31,0.0,126426.4509,12536.664072267882,5766.865473243225,-3797.05857282,0.0,0.0,1969.8069004232252,"Albuquerque,New Mexico",2024-12-31,Class C
2029-12-31,0.0,134160.3611,12836.125716948536,5904.617829796326,-3797.05857282,-58869.125159999996,134160.3611,77398.79519697634,"Albuquerque,New Mexico",2024-12-31,Class C
2024-12-31,-33780.163400000005,84450.4085,0.0,0.0,0.0,0.0,0.0,-33780.163400000005,"Alexandria,Louisiana",2024-12-31,Class B
2025-12-31,0.0,86949.7057,10350.050303379621,4761.023139554625,-3268.23080895,0.0,0.0,1492.792330604625,"Alexandria,Louisiana",2024-12-31,Class B
2026-12-31,0.0,93691.3962,10785.292940807538,4961.234752771467,-3268.23080895,0.0,0.0,1693.0039438214671,"Alexandria,Louisiana",2024-12-31,Class B
2027-12-31,0.0,101502.6857,11121.903932612217,5116.075809001619,-3268.23080895,0.0,0.0,1847.8450000516186,"Alexandria,Louisiana",2024-12-31,Class B
